Player,Team,Pos,Age,Club,Club_country,date,hour,category,opponent,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,CrdY,CrdR,tackles_made,successful_tackles,interceptions,Blocks,fouls_commited,own_goal,pass_comp,pass_attempt,successful_dribbles,offside
Dani Carvajal,SPAIN,DF,30,Real Madrid,es,27 NOV 2022,20 : 00,Group E,GERMANY,2,1,135,0,0,0,0,0,0,1.0,1,2,0.0,0,0,121.0,135.0,0.0,0
Dani Carvajal,SPAIN,DF,30,Real Madrid,es,01 DEC 2022,20 : 00,Group E,JAPAN,2,1,135,0,0,0,0,0,0,1.0,1,2,0.0,0,0,121.0,135.0,0.0,0
Dani Carvajal,SPAIN,DF,30,Real Madrid,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,2,1,135,0,0,0,0,0,0,1.0,1,2,0.0,0,0,121.0,135.0,0.0,0
Alejandro Balde,SPAIN,DF,18,Barcelona,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,1,126,0,0,1,0,0,0,6.0,6,0,2.0,2,0,112.0,123.0,0.0,0
Alejandro Balde,SPAIN,DF,18,Barcelona,es,27 NOV 2022,20 : 00,Group E,GERMANY,4,1,126,0,0,1,0,0,0,6.0,6,0,2.0,2,0,112.0,123.0,0.0,0
Alejandro Balde,SPAIN,DF,18,Barcelona,es,01 DEC 2022,20 : 00,Group E,JAPAN,4,1,126,0,0,1,0,0,0,6.0,6,0,2.0,2,0,112.0,123.0,0.0,0
Alejandro Balde,SPAIN,DF,18,Barcelona,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,4,1,126,0,0,1,0,0,0,6.0,6,0,2.0,2,0,112.0,123.0,0.0,0
Marcos Llorente,SPAIN,DF,27,Atlético Madrid,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,1,1,120,0,0,1,0,0,0,0.0,0,0,0.0,0,0,95.0,106.0,0.0,0
Marcos Llorente,SPAIN,DF,27,Atlético Madrid,es,27 NOV 2022,20 : 00,Group E,GERMANY,1,1,120,0,0,1,0,0,0,0.0,0,0,0.0,0,0,95.0,106.0,0.0,0
Marcos Llorente,SPAIN,DF,27,Atlético Madrid,es,01 DEC 2022,20 : 00,Group E,JAPAN,1,1,120,0,0,1,0,0,0,0.0,0,0,0.0,0,0,95.0,106.0,0.0,0
Marcos Llorente,SPAIN,DF,27,Atlético Madrid,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,1,1,120,0,0,1,0,0,0,0.0,0,0,0.0,0,0,95.0,106.0,0.0,0
Pau Torres,SPAIN,DF,25,Villarreal,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,1,1,90,0,0,0,0,0,0,0.0,0,0,1.0,1,0,174.0,191.0,0.0,0
Pau Torres,SPAIN,DF,25,Villarreal,es,27 NOV 2022,20 : 00,Group E,GERMANY,1,1,90,0,0,0,0,0,0,0.0,0,0,1.0,1,0,174.0,191.0,0.0,0
Pau Torres,SPAIN,DF,25,Villarreal,es,01 DEC 2022,20 : 00,Group E,JAPAN,1,1,90,0,0,0,0,0,0,0.0,0,0,1.0,1,0,174.0,191.0,0.0,0
Pau Torres,SPAIN,DF,25,Villarreal,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,1,1,90,0,0,0,0,0,0,0.0,0,0,1.0,1,0,174.0,191.0,0.0,0
Carlos Soler,SPAIN,MF,25,Paris S-G,fr,23 NOV 2022,17 : 00,Group E,COSTA RICA,2,0,92,1,0,4,1,0,0,0.0,0,0,0.0,0,0,78.0,83.0,1.0,0
Carlos Soler,SPAIN,MF,25,Paris S-G,fr,27 NOV 2022,20 : 00,Group E,GERMANY,2,0,92,1,0,4,1,0,0,0.0,0,0,0.0,0,0,78.0,83.0,1.0,0
Carlos Soler,SPAIN,MF,25,Paris S-G,fr,01 DEC 2022,20 : 00,Group E,JAPAN,2,0,92,1,0,4,1,0,0,0.0,0,0,0.0,0,0,78.0,83.0,1.0,0
Carlos Soler,SPAIN,MF,25,Paris S-G,fr,06 DEC 2022,16 : 00,Round of 16,MOROCCO,2,0,92,1,0,4,1,0,0,0.0,0,0,0.0,0,0,78.0,83.0,1.0,0
Koke,SPAIN,MF,30,Atlético Madrid,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,2,0,52,0,0,0,0,0,0,1.0,1,0,0.0,0,0,56.0,62.0,0.0,0
Koke,SPAIN,MF,30,Atlético Madrid,es,27 NOV 2022,20 : 00,Group E,GERMANY,2,0,52,0,0,0,0,0,0,1.0,1,0,0.0,0,0,56.0,62.0,0.0,0
Koke,SPAIN,MF,30,Atlético Madrid,es,01 DEC 2022,20 : 00,Group E,JAPAN,2,0,52,0,0,0,0,0,0,1.0,1,0,0.0,0,0,56.0,62.0,0.0,0
Koke,SPAIN,MF,30,Atlético Madrid,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,2,0,52,0,0,0,0,0,0,1.0,1,0,0.0,0,0,56.0,62.0,0.0,0
Ansu Fati,SPAIN,FW,19,Barcelona,es,23 NOV 2022,17 : 00,Group E,COSTA RICA,2,0,46,0,0,0,0,0,0,1.0,1,0,0.0,0,0,25.0,29.0,0.0,0
Ansu Fati,SPAIN,FW,19,Barcelona,es,27 NOV 2022,20 : 00,Group E,GERMANY,2,0,46,0,0,0,0,0,0,1.0,1,0,0.0,0,0,25.0,29.0,0.0,0
